0
"['waterproof', 'bicycle', 'touch', 'screen', 'bag', '36', '99', 'topgradeshop', 'topgrade', 'shop', 'shoppingaddict', 'shoppingtimetag', 'fri']"
"['like', 'share', 'want', 'self', 'adhesive', 'power', 'strip', 'holder', '21', '00', 'housholdin', 'shoppingaddict']"
"['shoppingaddict', 'brand', 'wireless', 'game', 'mouse']"
"['trendy', 'clothes', 'shoppingaddict', 'brand', 'flower', 'embroider', 'statement', 'belt']"
"['7007x', 'wireless', 'bluetooth', 'game', 'controller', '2020', 'shoppingaddict', 'shoppingtime', 'forsale']"
"['shoppingaddict', 'unlocked', 'apple', 'iphone', '5', 'io', 'original', 'smartphone']"
"['shoppingaddict', 'brand', 'metal', 'pot', 'hang', 'planter', 'rack', 'plant', 'holder', 'triangular', 'shape', 'metal', 'garden', 'flower', 'pot', 'rac']"
"['shoppingaddict', 'brand', 'brush', 'stroke', 'print', 'kimono']"
"['reusable', 'coffee', 'pod', '3', '00', 'shoppingonline', 'shoppingday', 'shoppingaddict', 'shoppingtime', 'powerestoretag', 'frien']"
"['cool', 'bingo', 'deal', 'shop', 'shoppingaddict', 'shoppingtime', 'forsale', 'shopnow', 'thebingodeal']"
"['shoppingaddict', 'brand', 'wool', 'mtw', 'snap', 'back', 'cap']"
"['like', 'share', 'want', 'portable', 'safety', 'net', '16', '99', 'familybestmarket', 'shoppingaddict', 'shoppingtimetag']"
"['compact', 'car', 'vacuum', 'cleaner', '59', '99', 'shoppingonline', 'shoppingday', 'shoppingaddict', 'shoppingtime', 'luxecustomer']"
"['shoppingaddict', 'brand', 'creative', 'shape', 'storage', 'hook']"
"['reusable', 'coffee', 'pod']"
"['big', 'as', 'smart', 'handbag', 'fashion', 'love', 'style', 'styleinsp', 'ootd', 'outfitoftheday', 'whatiwore', 'shoppingaddict']"
"['hanes', 'woman', 'perfect', 'tshirt', 'fashion', 'love', 'style', 'styleinsp', 'ootd', 'outfitoftheday', 'whatiwore', 'shoppingaddict']"
"['skinny', 'swept', 'hot', 'skirt', 'fashion', 'love', 'style', 'styleinsp', 'ootd', 'outfitoftheday', 'whatiwore', 'shoppingaddict']"
"['carholder', 'android', 'headphone', 'shoppingaddict', 'brand', 'dewdrop', 'essential', 'oil', 'diffuser']"
"['wrong', 'parking', '25', '10', '2021', 'shoppingaddict', 'shoppingcart', 'apictureaday', 'pictureoftheday', 'conte', '6moredays']"
"['color', 'prism', 'toy', '13', '95', 'shoppingonline', 'shoppingday', 'shoppingaddict', 'shoppingtime', 'toyheavenshop']"
"['usb', 'c', 'multifunction', 'hub', '0', '00', 'shoppingonline', 'shoppingday', 'shoppingaddict', 'shoppingtime', 'classicgearz']"
"['universal', 'magic', 'nano', 'paste', '14', '00', 'shoppingonline', 'shoppingday', 'shoppingaddict', 'shoppingtime', 'buyandroll']"
"['shoppingaddict', 'brand', '2', 'in', '1', 'earbuds', 'power', 'bank']"
"['authentic', 'bodysuit', 'shoppingaddict', 'brand', 'cotton', 'baby', 'bib', 'pacifier', 'holder']"
"['cute', 'repeat', 'talk', 'plush', 'hamster', '19', '99', 'shoppingonline', 'shoppingday', 'shoppingaddict', 'shoppingtime']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift', 'shoppingaddict']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'shoppingaddict', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tumblr', 'socialmedia', 'pinterest', 'dogecoin', 'reddit', 'gift', 'shoppingaddict']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift', 'shoppingaddict']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift', 'shoppingaddict']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'shoppingaddict', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'shoppingaddict', 'gift']"
"['shoppingaddict', 'brand', 'samson', 's', 'matte', 'finish', 'clay']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'shoppingaddict', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'shoppingaddict', 'gift', 'gift']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'shoppingaddict', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'shoppingaddict', 'deal', 'gift', 'gift']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'shoppingaddict', 'doge', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'shoppingaddict', 'dogecoin', 'deal', 'gift', 'gift']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'shoppingaddict', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'shoppingaddict', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'shoppingaddict', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'shoppingaddict', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['tumblr', 'twitter', 'facebook', 'instagram', 'shoppingaddict', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'instagram', 'shoppingaddict', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'facebook', 'shoppingaddict', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['tumblr', 'twitter', 'facebook', 'shoppingaddict', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['tumblr', 'twitter', 'shoppingaddict', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['linkedin', 'twitter', 'shoppingaddict', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['linkedin', 'shoppingaddict', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['tumblr', 'shoppingaddict', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['shoppingaddict', 'tumblr', 'twitter', 'facebook', 'instagram', 'dogecoin', 'socialmedia', 'pinterest', 'doge', 'deal', 'gift', 'gift']"
"['shoppingaddict', 'linkedin', 'twitter', 'facebook', 'instagram', 'tiktok', 'socialmedia', 'tumblr', 'dogecoin', 'deal', 'gift', 'gift']"
"['woman', 's', 'loose', 'high', 'waisted', 'thin', 'pant', 'womenapparel', 'womenfashion', 'shoppingaddict', 'trendy']"
